"","Model","Year","Estimate","L95","U95","sd","RMSE","MAPE","MSA"
"1","MSA_weighted",2016,44449.5354183755,17060.165962611,126972.014081291,0.535516423717123,15987.5464498344,21.4383006670483,18.2773561053382
"2","MSA_weighted",2017,30957.2999908506,10826.5785996448,98220.3472797104,0.589083959702706,15987.5464498344,21.4383006670483,18.2773561053382
"3","MSA_weighted",2018,33487.6791194144,11810.7394664209,105576.030093077,0.585843762270986,15987.5464498344,21.4383006670483,18.2773561053382
"4","MSA_weighted",2019,31757.2960192772,11283.7494768464,99250.6617130693,0.581390863192274,15987.5464498344,21.4383006670483,18.2773561053382
"5","MSA_weighted",2020,19637.993747248,6393.62475193201,67002.2424789037,0.626153031795331,15987.5464498344,21.4383006670483,18.2773561053382
"6","MSA_weighted",2021,18264.8869963905,5902.87517941431,61711.087074366,0.621164864641556,15987.5464498344,21.4383006670483,18.2773561053382
"7","MSA_weighted",2022,28904.9885789975,9401.39352905165,95680.628883324,0.610715136502863,15987.5464498344,21.4383006670483,18.2773561053382
"8","MSA_weighted",2023,35728.6438860715,11828.0085814429,115684.707732789,0.599446804554098,15987.5464498344,21.4383006670483,18.2773561053382
"9","MSA_weighted",2024,49481.096302783,15824.613232186,164198.457468896,0.61198219336285,15987.5464498344,21.4383006670483,18.2773561053382
"10","MSA_weighted",2025,56486.3806965586,19952.1989645675,168723.797287058,0.558297695348667,15987.5464498344,21.4383006670483,18.2773561053382
"11","MSA_weighted",2026,70860.9596784551,23967.5583447855,222763.092355591,0.584382243868438,15987.5464498344,21.4383006670483,18.2773561053382
