"","Estimate"
"1",93530.5737762467
"2",65521.2740830213
"3",68283.0283460328
"4",171065.882515199
"5",114760.012513059
"6",60491.7963051861
"7",124869.65641543
"8",23138.8452047903
"9",161040.628445617
"10",91165.2426659458
"11",47604.7836878418
"12",78992.7741831524
"13",46703.3944430361
"14",72215.600626604
"15",100119.890778986
"16",86568.0809765839
"17",97494.1611287118
"18",108597.290264226
"19",75126.4342144538
"20",320242.869802696
"21",53071.2945172988
"22",46745.5324734329
"23",67254.5454332881
"24",63787.440701892
"25",90826.9785356848
"26",64334.2172343103
"27",73621.9200586064
"28",27149.1599585036
"29",173068.95272107
"30",105399.269184619
"31",104381.489037507
"32",51801.2991688694
"33",77819.0790043043
"34",75402.287630181
"35",37497.2162926682
"36",47328.6874234155
"37",104272.677842019
"38",52092.6782009
"39",143943.084384359
"40",61946.5603415765
"41",54051.9500216682
"42",91582.3952248366
"43",93127.9454558436
"44",70042.9843928798
"45",81464.2824510421
"46",56408.5678232912
"47",76503.4374893582
"48",215912.631694677
"49",45013.1225871084
"50",120389.369000016
"51",89012.7446477972
"52",57512.5050294971
"53",178261.832769014
"54",34046.9798397255
"55",54368.0500916478
"56",56949.1595159241
"57",162436.99114894
"58",86839.1279288049
"59",57467.0058405386
"60",52454.9567090142
"61",80334.5789903838
"62",79324.4662543743
"63",94919.6570444723
"64",132587.450824146
"65",84548.2365058681
"66",126803.632974582
"67",31383.8675901631
"68",31110.1243687837
"69",113375.061991669
"70",46599.6170492888
"71",98974.9976037366
"72",78076.7803646957
"73",185387.4110027
"74",140669.61551001
"75",38430.7579704568
"76",44814.0963144275
"77",42899.4888638964
"78",126756.801491972
"79",61387.6429351725
"80",53349.261669269
"81",35338.0357495076
"82",176482.961911187
"83",290139.493868548
"84",60609.268784374
"85",75479.4023864253
"86",103164.054583148
"87",50414.2529386011
"88",85291.6789928898
"89",69681.1438843451
"90",59794.8267462036
"91",91696.4462599671
"92",201134.230391106
"93",92954.184838349
"94",23332.0661144477
"95",49496.2603945664
"96",124628.345532663
"97",26466.1503927783
"98",28477.1993241699
"99",99444.5134488248
"100",13106.247603889
"101",102460.683218432
"102",139967.825897641
"103",114476.741151415
"104",34529.3685827974
"105",48517.5215072728
"106",65738.0557332316
"107",41185.1379215725
"108",71152.7414776986
"109",243105.17307635
"110",59995.9055618907
"111",84507.7988709644
"112",39365.5866718896
"113",84226.7007441807
"114",55123.9863312485
"115",37216.7852608096
"116",117429.020460873
"117",97355.8757193129
"118",18704.1090578936
"119",62568.6649119227
"120",58047.8337138866
"121",337698.975883731
"122",75238.7276263253
"123",40611.3000964229
"124",88024.5961596806
"125",73212.5364296004
"126",91481.9352307556
"127",36090.9719546161
"128",35640.3424088353
"129",70039.7764519409
"130",70464.2588167536
"131",63308.1418473965
"132",62191.8607656281
"133",39395.9553887319
"134",76603.1278373881
"135",64425.1595164746
"136",75954.124142342
"137",146443.264271826
"138",101308.048483753
"139",105867.790786092
"140",127053.017665951
"141",75388.3124651089
"142",56985.5688661688
"143",172519.705345269
"144",68782.7191467164
"145",79387.5536001069
"146",59568.1897716792
"147",100669.996608682
"148",352274.124948608
"149",75315.2433768339
"150",176429.879603572
"151",98859.2802042944
"152",98833.0173643435
"153",134065.570464841
"154",202172.518135643
"155",73585.9797644807
"156",253103.376796037
"157",76044.6358628248
"158",139972.332690575
"159",40037.351326479
"160",33865.0371369281
"161",67617.5708594797
"162",95312.2625791013
"163",123297.631633826
"164",76948.6884044375
"165",102460.893983651
"166",119157.098266496
"167",40516.4486073437
"168",26428.8339691936
"169",163216.768501651
"170",173516.06960128
"171",97128.4853682208
"172",99960.6383449946
"173",16005.3249951863
"174",90057.9816427938
"175",101525.13666343
"176",76709.9291296826
"177",64302.0683571102
"178",90266.9410942252
"179",36775.2780013712
"180",81842.2832197006
"181",39144.815364287
"182",79619.7967927264
"183",21883.0026110961
"184",85577.4351485675
"185",84121.494929109
"186",98483.1243561929
"187",34199.5103657533
"188",26817.1508465085
"189",110658.982849376
"190",107887.054962329
"191",32056.5552328657
"192",25146.0147385821
"193",22290.9460448378
"194",34198.4858463993
"195",456877.749276583
"196",99667.2000196251
"197",61614.8841969541
"198",131288.426752072
"199",119860.423921509
"200",147211.096900767
"201",64277.5453301871
"202",139700.681228467
"203",57193.5600378552
"204",62690.7526444698
"205",53997.6233317192
"206",49116.2741221015
"207",72728.9719876054
"208",226119.621612438
"209",54474.9224537902
"210",55260.5286049797
"211",41095.0166723138
"212",118618.70992115
"213",29860.5579084234
"214",47151.0248691369
"215",37514.9657482649
"216",41944.402940678
"217",75845.6425689716
"218",27617.6519063677
"219",77780.7913736456
"220",69950.7205821995
"221",137306.827955952
"222",111545.021944171
"223",31012.6788089729
"224",79019.9856570074
"225",78860.494519959
"226",42359.320133485
"227",93501.8942109036
"228",119670.628022951
"229",140276.190727497
"230",65309.3252775852
"231",88136.7659674864
"232",24365.1183453775
"233",89327.3203156274
"234",114239.137348717
"235",41893.0323447701
"236",85958.789039743
"237",103926.126819361
"238",136235.078674786
"239",68241.7861310701
"240",52191.1294065185
"241",68698.5769894332
"242",101121.588459592
"243",71600.9897384278
"244",168632.189131701
"245",90851.3506091328
"246",40253.7574920458
"247",39203.9239588078
"248",89892.4598472572
"249",16679.7016985081
"250",32032.6556351167
"251",45801.509809179
"252",58792.185526241
"253",63401.3813881273
"254",208197.63614655
"255",130125.218305338
"256",161853.891293754
"257",168803.414533568
"258",24069.7482390691
"259",135681.167692302
"260",98504.9550868547
"261",60851.9612039066
"262",195021.531320797
"263",38363.5921191012
"264",184669.044827619
"265",99257.8513726435
"266",47336.7479540768
"267",50938.0077019174
"268",26891.6489028987
"269",112271.360631301
"270",52008.8359475944
"271",40657.3614211831
"272",22369.797600364
"273",96509.7030068011
"274",95228.539808588
"275",100926.409592731
"276",62259.5479286053
"277",53728.4322674241
"278",47960.5404551957
"279",147680.576391077
"280",132182.315285055
"281",65298.420538244
"282",79272.7028762876
"283",88192.7971163625
"284",86842.9803477829
"285",58367.3784701598
"286",131703.831644186
"287",90032.1422986178
"288",60410.4374083635
"289",70724.4829254616
"290",54570.6049719817
"291",41531.8129611678
"292",161900.377879761
"293",51652.524607316
"294",32669.0429399929
"295",55668.7063722744
"296",195600.958393884
"297",138066.077377977
"298",58735.0627577586
"299",65797.2115901833
"300",53963.1817246279
"301",20289.4526785075
"302",120512.051427579
"303",96700.9689589272
"304",63026.3330422233
"305",125308.118381438
"306",48005.8421284361
"307",27287.0450400329
"308",81345.8972222504
"309",80829.2308061096
"310",64361.1609489067
"311",29346.9265238889
"312",43953.6564077152
"313",36366.6925451714
"314",71177.6081607739
"315",52968.7587037582
"316",39385.9707184951
"317",76562.6108321417
"318",24608.39230595
"319",96330.6086859483
"320",69912.1238536915
"321",65654.8488059309
"322",57599.151823599
"323",147733.281143762
"324",47137.8445052638
"325",31664.0446740112
"326",137148.531825524
"327",58525.1364926617
"328",89236.3178645057
"329",46604.2982117221
"330",81324.4995835741
"331",66797.1723176393
"332",51255.7255884827
"333",112050.874511299
"334",134156.061311477
"335",78771.5401977368
"336",55398.9549581818
"337",66366.9593206716
"338",72483.7574984119
"339",173882.44668825
"340",120373.050402344
"341",67548.5452245467
"342",37660.4972934022
"343",119611.970077074
"344",95929.6617896891
"345",249739.982590422
"346",60338.5401662184
"347",116168.858041852
"348",87888.6114342979
"349",73709.3006146054
"350",26130.8931481796
"351",81016.2865496445
"352",154909.23212796
"353",71755.6841669145
"354",38807.1943872435
"355",56479.5957473926
"356",58755.6327829022
"357",40425.3733034916
"358",32257.771068843
"359",48946.1200970453
"360",52248.0954440014
"361",33856.935060194
"362",53286.5530883331
"363",24915.0911718538
"364",37524.8443993748
"365",163467.019664216
"366",40454.105432583
"367",87063.3936141692
"368",331281.585548648
"369",53526.3907515484
"370",51641.2134767127
"371",93265.17504798
"372",79046.8434448289
"373",140219.212185546
"374",52371.4704423364
"375",43989.5073801126
"376",40756.4455870757
"377",101827.500266129
"378",125257.75512972
"379",56412.3330119642
"380",58946.6991381768
"381",23950.0399445549
"382",34089.3173973207
"383",70437.5794329327
"384",23799.3988811025
"385",184685.746977925
"386",74612.0423837828
"387",109496.517795288
"388",78220.3157825248
"389",117076.243871113
"390",86296.1834939938
"391",46666.9306051816
"392",42257.0159232666
"393",66991.8221410063
"394",34012.2700354742
"395",86987.9381327635
"396",62746.5570860223
"397",73800.4197069412
"398",35735.9430485679
"399",46295.5851223032
"400",66164.5974056044
"401",32444.7977360738
"402",52230.8261385083
"403",242402.698823131
"404",27311.6735128603
"405",17449.5165802315
"406",85042.8781938007
"407",140429.640763836
"408",74050.7429824716
"409",37789.1300732395
"410",30277.5859037961
"411",79080.8414300294
"412",109917.69503793
"413",145529.638674798
"414",68288.5825647902
"415",89644.2655604685
"416",50800.8156792294
"417",40215.9231576011
"418",135620.528112016
"419",76401.7881458824
"420",59089.7067717457
"421",51660.7696709515
"422",104012.132504805
"423",153486.847198602
"424",27104.1940786452
"425",71058.3501337487
"426",22747.0265688791
"427",29878.8791764806
"428",62812.0565430172
"429",35297.0638190087
"430",115731.75198169
"431",63843.9921038491
"432",33566.1405795496
"433",90162.8003994074
"434",22699.6320074015
"435",97202.1645370799
"436",99269.4457965993
"437",81071.0158380389
"438",52620.1149104682
"439",100949.43670775
"440",109834.728073067
"441",78687.7102158777
"442",142118.565345692
"443",37629.7098116061
"444",98741.8471754731
"445",86773.4498624125
"446",86242.8764100819
"447",56556.1927717692
"448",99337.3164162462
"449",41259.1626466281
"450",62319.8317548542
"451",64274.1038745312
"452",76561.9232603511
"453",95000.9101276187
"454",31791.1649639663
"455",124007.33003349
"456",85709.2934214594
"457",49514.819855007
"458",40626.573846346
