"","Model","Year","Estimate","L95","U95","sd","RMSE","MAPE","MSA"
"1","Stack_weighted",2014,27136.2385294541,7979.74462375781,96304.3615746757,0.646246714078144,16257.3748845856,25.6359134693852,8.19867456171235
"2","Stack_weighted",2015,51125.0631461489,24414.7880270767,110853.345921461,0.394863913437838,16257.3748845856,25.6359134693852,8.19867456171235
"3","Stack_weighted",2016,42438.6299993878,16753.3694033518,125551.556233454,0.553396657403953,16257.3748845856,25.6359134693852,8.19867456171235
"4","Stack_weighted",2017,33197.1174217662,11461.9509278304,98169.6465340926,0.553180623286458,16257.3748845856,25.6359134693852,8.19867456171235
"5","Stack_weighted",2018,35345.5318708213,11903.3169468498,110469.188849293,0.58141054114518,16257.3748845856,25.6359134693852,8.19867456171235
"6","Stack_weighted",2019,40297.9878932341,14258.746338784,118332.861419112,0.549591823108805,16257.3748845856,25.6359134693852,8.19867456171235
"7","Stack_weighted",2020,19895.1113922803,7836.45890362148,60734.9946141849,0.569411227858627,16257.3748845856,25.6359134693852,8.19867456171235
"8","Stack_weighted",2021,15681.2730332937,5952.84071427817,50135.9143752503,0.592995104641221,16257.3748845856,25.6359134693852,8.19867456171235
"9","Stack_weighted",2022,21056.8714001595,7526.02117040001,68807.0771006636,0.604122278220271,16257.3748845856,25.6359134693852,8.19867456171235
"10","Stack_weighted",2023,23219.7775003243,8146.75601791024,75666.9870323524,0.602723249352523,16257.3748845856,25.6359134693852,8.19867456171235
"11","Stack_weighted",2024,29872.8431238921,9100.60246552981,106853.001706957,0.650257277108859,16257.3748845856,25.6359134693852,8.19867456171235
