"","Estimate"
"1",51320.9808874132
"2",40433.2635888251
"3",60214.633237117
"4",16698.4402787992
"5",45764.6459047601
"6",32370.3661848934
"7",49695.3778182291
"8",15293.3311693059
"9",19178.8508705388
"10",16816.164334347
"11",32813.4309222408
"12",33715.3075976698
"13",16997.8447486662
"14",29886.7182227214
"15",52206.6642088606
"16",20967.2024599827
"17",41366.9168091265
"18",20591.1292670302
"19",35322.9673992056
"20",60004.9262339551
"21",102388.414875164
"22",14643.2029391263
"23",22276.0130192941
"24",16539.0816886927
"25",6017.95174639772
"26",50566.2387367824
"27",39637.5317338213
"28",19689.9565377203
"29",31383.8190385412
"30",43332.7587952381
"31",24819.2349851513
"32",28411.6351632567
"33",35905.6772739169
"34",45240.1506197418
"35",25229.232426264
"36",17270.1652379388
"37",25082.3011822819
"38",24508.5746255249
"39",32065.7319833757
"40",51360.878117347
"41",11559.5984279997
"42",28268.7830311572
"43",59300.7568047961
"44",25282.5066659115
"45",69021.6455000784
"46",16311.6152698052
"47",31703.4086273916
"48",8701.95281690301
"49",30530.9223868936
"50",42630.6882741888
"51",86539.5741993513
"52",12816.492697831
"53",105423.515285926
"54",29726.2627398154
"55",46904.7467914205
"56",32764.8749925582
"57",33857.7417138547
"58",31809.6144063438
"59",37475.5532575111
"60",30772.7228349695
"61",34266.1580077372
"62",63658.1682778843
"63",31790.2988593841
"64",21529.5483271697
"65",23416.477318101
"66",11515.1911224997
"67",17644.2712342372
"68",39122.5858603944
"69",22461.6347330985
"70",20247.7811231894
"71",18248.48933625
"72",6373.4358703442
"73",27551.1293763556
"74",27180.9297825426
"75",23599.7558226707
"76",43909.3980261417
"77",105938.683835789
"78",25986.1257570448
"79",56812.5309623706
"80",15403.0161233046
"81",48398.0656878815
"82",6837.74131580345
"83",83226.6584954656
"84",24302.2417845022
"85",31027.3304738349
"86",26442.3098928977
"87",20449.153589892
"88",24077.5463595385
"89",21316.0565955507
"90",25475.4109227455
"91",17635.1369857242
"92",52228.8145603327
"93",39888.6614537686
"94",11834.5651821786
"95",33214.4197117931
"96",95422.3434212583
"97",30914.7884496483
"98",16482.111601901
"99",10976.2969897668
"100",33582.6307138462
"101",18642.5064210542
"102",53644.3487862702
"103",21353.4019421135
"104",13023.7003671822
"105",14812.1614348327
"106",55668.3563600012
"107",12757.0747409455
"108",78921.399029303
"109",55777.0661400021
"110",12035.8150295063
"111",40009.7449257554
"112",41733.9837284205
"113",26053.3851543873
"114",18930.7621227324
"115",78019.1780869274
"116",11302.5133774425
"117",49698.4944262186
"118",40625.8419618351
"119",5328.53975216158
"120",40373.6611472021
"121",50563.8032262261
"122",38506.6156123304
"123",8630.18040689226
"124",41613.8534059461
"125",24562.3319037923
"126",36531.1084019645
"127",16777.0359710501
"128",17826.5405698904
"129",35501.1129249835
"130",12283.8939621958
"131",34013.9740039908
"132",9010.66010775051
"133",113054.32181111
"134",42928.4647809936
"135",16204.8060108835
"136",55298.5130412962
"137",26176.8143329637
"138",17725.4482402535
"139",94548.3159304617
"140",35483.8601362575
"141",17594.1690796046
"142",28224.1278983318
"143",61943.2101067182
"144",18221.0849755743
"145",70579.7060466408
"146",14540.6744492081
"147",49664.8110206907
"148",20352.8202483124
"149",46136.357483838
"150",130650.925496384
"151",61246.3760432822
"152",27852.5136793677
"153",15864.6764245545
"154",40458.1547805747
"155",104002.091328597
"156",31118.4215375224
"157",31974.4993074988
"158",25302.8060660694
"159",27793.59714333
"160",23314.8046402538
"161",79648.1504622665
"162",15236.8613833513
"163",80576.5785575434
"164",29726.1858765988
"165",21847.1725466031
"166",8572.35565387895
"167",9149.15623137223
"168",59438.7130833398
"169",15230.4042582158
"170",23028.0008959526
"171",65051.2370850192
"172",77458.369668301
"173",20089.6766867692
"174",63215.214448303
"175",20956.2246227618
"176",65181.4345721747
"177",27913.1423713447
"178",39547.1816738371
"179",18892.2688216169
"180",11837.0752142885
"181",83744.1255679187
"182",62052.8315396436
"183",18298.1701087889
"184",33549.2505690287
"185",19512.7342720527
"186",24380.5619562168
"187",19038.1385261665
"188",57937.8272813865
"189",56639.7467407818
"190",96854.2824318178
"191",97360.143459816
"192",115518.601902117
"193",77189.9480387702
"194",38383.9666074344
"195",16383.2071605097
"196",34422.805725116
"197",61012.7824652823
"198",21569.7721600391
"199",66773.281499382
"200",32831.7804802415
"201",27187.4614854134
"202",54166.446902205
"203",81377.473591272
"204",44787.3264324609
"205",92914.5442686604
"206",28468.2501902209
"207",20968.3685106345
"208",53458.4421935285
"209",72786.1024320448
"210",66051.7002178241
"211",28970.958284463
"212",58783.8929579525
"213",35056.1498825438
"214",26942.478889255
"215",21020.851916753
"216",32442.5425092018
"217",49808.2222064577
"218",30650.1042668487
"219",41247.7808385561
"220",36750.2312358179
"221",10320.7855241005
"222",16932.0458538108
"223",17606.3571256431
"224",84126.2455404128
"225",34790.9271211349
"226",42970.4678278487
"227",36568.0626556551
"228",27998.6777669509
"229",23361.5609542217
"230",33496.9619193435
"231",23272.8336466474
"232",18867.614269149
"233",39290.4281945624
"234",34943.4077094344
"235",16479.6600981005
"236",32517.1129479104
"237",77510.52488273
"238",43363.4235949197
"239",27244.1722338863
"240",33111.8962092998
"241",73663.1782314713
"242",26640.0493187153
"243",89524.3842063361
"244",70239.3273807892
"245",24753.1094074136
"246",12635.5490668337
"247",14632.1610516621
"248",47005.3539076746
"249",11399.9785261128
"250",64616.6771257723
"251",42855.9741250371
"252",30787.8716767123
"253",29085.283223973
"254",28084.7839257251
"255",16403.5493813841
"256",52953.0680489402
"257",39904.3601478838
"258",6036.60188670078
"259",44593.3817126227
"260",31532.6093717318
"261",19285.3191129402
"262",14528.6999239419
"263",13244.5591963192
"264",24989.8183254735
"265",33297.919326175
"266",29402.2419276574
"267",60194.7725947493
"268",16644.876118921
"269",23591.036525638
"270",16944.8153469152
"271",17708.002965954
"272",100054.714486295
"273",46575.3436469027
"274",25902.9202810543
"275",62710.6651653527
"276",28572.9129324408
"277",35035.8325888946
"278",52667.6567651499
"279",43388.8280987429
"280",34411.7790170422
"281",56519.3877124681
"282",18571.1149747894
"283",64077.0639686089
"284",60751.4515262851
"285",44639.0793801096
"286",16628.1972278815
"287",14198.2737987933
"288",22320.3753115539
"289",36313.6436497035
"290",8268.08180292372
"291",33411.145937649
"292",44580.6430754916
"293",48156.4394775487
"294",51957.6551879159
"295",11690.4164398713
"296",6740.04474402445
"297",22023.5244885705
"298",30104.9020018173
"299",34139.8520267395
"300",28322.6061978348
"301",52700.4233736574
"302",34225.0842895702
"303",42584.7191052624
"304",37408.8632649708
"305",25436.5004363513
"306",58363.9963548804
"307",57332.7755059481
"308",29254.0633288758
"309",50590.659858838
"310",34901.6436667144
"311",29861.9035200572
"312",54819.1611240986
"313",28657.6147672545
"314",29652.9727275207
"315",65260.3978489068
"316",8638.29914393975
"317",57567.0692140125
"318",69296.3524818024
"319",55440.7807166923
"320",47178.1024498858
"321",33946.2192589332
"322",28867.3901814463
"323",12885.038437719
"324",43289.9828615767
"325",43096.0894709178
"326",31040.9019341473
"327",15613.8722059093
"328",22815.6283910654
"329",13905.0846270562
"330",11354.2899995236
"331",21110.9887971634
"332",22644.2817287486
"333",22629.2608625216
"334",22120.2797759624
"335",18430.1651286415
"336",11610.9331507227
"337",28735.0645371201
"338",30637.7431609864
"339",15146.4468376305
"340",25679.6752769587
"341",47933.5051906126
"342",18331.686665522
"343",17020.4133632567
"344",9240.84914188474
"345",17581.3364648765
"346",84751.7257995417
"347",22989.5971249577
"348",29728.187760402
"349",51793.9441728772
"350",17345.0425961753
"351",28352.0160449185
"352",63025.0171548733
"353",38944.995355493
"354",51387.5959048134
"355",25485.7370446098
"356",48105.7885933503
"357",11960.2064074423
"358",12636.2762241562
"359",15760.4077866656
"360",17623.9713182272
"361",40106.0976722353
"362",21902.585203177
"363",23872.5284574144
"364",90654.8265940276
"365",75442.3762708202
"366",22104.7927878639
"367",24393.7442424181
"368",24558.697943199
"369",38630.5987407447
"370",31786.0931441032
"371",5098.74532009937
"372",15589.7812772531
"373",30954.2343017179
"374",17275.6488313995
"375",32338.4939688684
"376",257931.451071748
"377",22417.1023650206
"378",30908.2817983394
"379",46445.6920746106
"380",30574.0424741421
"381",40899.4561038226
"382",26865.9160694316
"383",17482.0256308702
"384",43715.9674575777
"385",29272.4751133489
"386",72064.68931284
"387",12472.8221043888
"388",33602.4521162036
"389",77566.8750737146
"390",11711.2011249753
"391",26694.5338637348
"392",25419.554954762
"393",10376.9670041947
"394",33203.2196463963
"395",11750.6503406455
"396",18467.9831090682
"397",38165.0811365252
"398",87047.2331452912
"399",10487.938318898
"400",48632.785220662
"401",39190.4901628064
"402",28487.6021670087
"403",70850.9324781538
"404",13400.7054845509
"405",51206.8314287493
"406",16359.1838401215
"407",7616.73443470503
"408",15345.8220587253
"409",30485.3352524918
"410",77716.6221180666
"411",27874.5008873696
"412",66722.0557797353
"413",25857.6127503254
"414",15207.9602593901
"415",17117.4358725916
"416",6769.31806664105
"417",213903.45650338
"418",37869.9614702953
"419",17782.8027283702
"420",27417.2965871368
"421",21605.6527737974
"422",25343.6783651005
"423",14258.4515702913
"424",42133.3718891465
"425",47150.4616503589
"426",18900.1799843156
"427",34400.3164667791
"428",86697.2474114466
"429",23002.6380745266
"430",5844.75092322003
"431",64062.3014733249
