"","Estimate"
"1",67900.3024950646
"2",43722.6529707306
"3",22414.6534138768
"4",113305.81315075
"5",7044.35691464548
"6",67799.1919050322
"7",39845.7692300669
"8",37757.347553669
"9",74471.6250134429
"10",50655.0982057442
"11",72912.6452939651
"12",71536.3821760978
"13",41205.6175308534
"14",90222.8043129132
"15",25145.2959292268
"16",78188.9466561264
"17",36475.7025872724
"18",53161.3213976014
"19",33954.9650170372
"20",16659.0519709827
"21",105672.712214842
"22",90269.7037512689
"23",105123.021458265
"24",54380.1713759775
"25",74166.6748354484
"26",6902.59249454069
"27",26695.5248392581
"28",173293.876055338
"29",55783.3994332825
"30",68519.2725362721
"31",60598.419197867
"32",180587.815844108
"33",35870.9117339525
"34",59707.5508501926
"35",18107.0180237288
"36",50461.2452101955
"37",52878.8514522141
"38",33652.5732105202
"39",25417.9199340448
"40",66197.5994415972
"41",100893.246244338
"42",43040.2514912477
"43",117684.668320044
"44",41868.7134927545
"45",101323.995449856
"46",82341.1661241091
"47",18524.0638374851
"48",31196.1153877144
"49",53325.4910336114
"50",21616.5826829738
"51",71125.2023356905
"52",80736.9815859776
"53",15310.2946280405
"54",78558.3373878764
"55",66196.7708759568
"56",17117.774672421
"57",63989.2011579399
"58",72621.7548923279
"59",43042.15611883
"60",39900.1259079763
"61",43219.9205043862
"62",50945.6959741965
"63",166283.892721153
"64",41951.758336532
"65",29114.144680197
"66",104442.333504737
"67",61128.8248725304
"68",66708.6509655445
"69",128476.120099654
"70",46889.8515871773
"71",48357.1379621122
"72",45279.3601569777
"73",46050.9550199793
"74",25160.4955527481
"75",101231.031248963
"76",33555.1386303015
"77",40630.4642870126
"78",58626.31294499
"79",31287.4054706094
"80",100551.562911929
"81",15288.0517133423
"82",13514.1639549007
"83",96373.9007675549
"84",80995.0527562406
"85",105103.898474273
"86",141465.365679471
"87",27558.4605574619
"88",26786.7204960864
"89",26081.6244126002
"90",87922.783893557
"91",24811.4317966597
"92",17492.4862506638
"93",50196.8115626177
"94",103155.203928688
"95",68412.5447218454
"96",20392.1960441024
"97",22122.8952124993
"98",15824.6568822576
"99",86077.7275640837
"100",104746.486093284
"101",35611.8335696545
"102",83613.8709309764
"103",74299.7480660284
"104",45767.4920252898
"105",20552.9978781245
"106",107119.102067885
"107",61551.6058928928
"108",42406.2774192281
"109",77597.996898047
"110",159250.618049089
"111",43880.9111463158
"112",29751.0927349643
"113",22993.3525489154
"114",39992.8223685908
"115",41944.8976776835
"116",62066.0394104157
"117",50911.8378696028
"118",32851.9739959291
"119",46856.836065524
"120",45539.2889411924
"121",40865.5248659259
"122",75843.6562697888
"123",71498.1218457213
"124",47008.8747585488
"125",96916.4233664181
"126",72286.8569212665
"127",79095.1753571738
"128",73899.1987973802
"129",69991.0842288368
"130",38423.4969308259
"131",30396.9909869181
"132",37499.4598751458
"133",26084.2779816075
"134",49207.6953348768
"135",80675.8116757569
"136",88940.601765347
"137",38591.7120786245
"138",48468.6164148099
"139",49544.3612781304
"140",35510.4815673336
"141",24700.0102656542
"142",57060.6409917432
"143",103066.824726993
"144",32557.4232154341
"145",124879.980371258
"146",141984.233754609
"147",27987.9261860331
"148",41682.0645100742
"149",70280.5203039861
"150",63487.2257679481
"151",31496.121927284
"152",39755.0296381176
"153",70454.1236450229
"154",59453.4780964377
"155",110179.330155763
"156",27646.6379795586
"157",22501.2200285936
"158",23629.8570478233
"159",40858.7045888488
"160",100727.167434133
"161",50602.9112427083
"162",96820.8312888141
"163",43823.4298932686
"164",36968.324312691
"165",73978.0749097676
"166",43977.6388246896
"167",77865.9692698594
"168",55667.7242369382
"169",55789.1190072291
"170",21739.9845838593
"171",32052.171497593
"172",106876.911056557
"173",49201.8540153671
"174",62906.2479233461
"175",173016.815479104
"176",51635.0927858183
"177",44768.2094958124
"178",25644.7508583379
"179",31318.9814956626
"180",21829.6387680547
"181",21431.8841165766
"182",33776.1082761033
"183",18425.2724205674
"184",83974.8266670452
"185",65492.4031898325
"186",60667.6600381739
"187",92107.4266469852
"188",124108.608076199
"189",42212.2075010743
"190",66857.7860454686
"191",17897.6017930244
"192",39165.4594666606
"193",26350.6040429435
"194",48083.5161147123
"195",58074.2077986385
"196",30155.550086087
"197",98075.1843820113
"198",48469.9927655401
"199",21939.3814277657
"200",14380.2467357559
"201",44798.5779117461
"202",28642.7554146732
"203",192025.442904422
"204",20234.6786837998
"205",97676.0608403272
"206",68594.7582396749
"207",77448.0125831414
"208",55337.9746913183
"209",46555.3968753942
"210",35469.7918690509
"211",21295.8364394927
"212",66323.9505843247
"213",46096.9252173298
"214",32970.1932136886
"215",70933.5026183798
"216",35146.1018889184
"217",51173.6655568709
"218",55988.9950209655
"219",72298.4544150659
"220",88111.6536676772
"221",46256.9949756715
"222",43313.587219518
"223",24523.3449425932
"224",72138.461225743
"225",84869.1171735111
"226",46536.3375186972
"227",33788.5310114024
"228",17541.4069097139
"229",38875.4218417864
"230",37154.919152308
"231",95979.2083401455
"232",27748.0670295859
"233",33891.4692419335
"234",25084.7296054406
"235",14200.6871317233
"236",54916.7686155378
"237",13621.7859570704
"238",31363.204314347
"239",68801.1161548078
"240",68807.7643452394
"241",45672.622152303
"242",60701.1272372011
"243",80606.5434352099
"244",58628.5069137319
"245",51860.2857935064
