"","Estimate"
"1",7023.24442736738
"2",6201.44593631778
"3",7192.57377841167
"4",10300.9402915813
"5",4625.7255369321
"6",8944.90239500573
"7",6775.04429901591
"8",5389.49903870394
"9",8012.6809517859
"10",11123.9740477159
"11",7971.26754960171
"12",5134.73712493849
"13",5934.39344105702
"14",5909.7616333858
"15",9750.66762188703
"16",7688.52138776454
"17",7991.66809723801
"18",9718.98219717655
"19",6396.61335478443
"20",4306.40723916402
"21",6646.70192234387
"22",6532.95961385323
"23",7245.83798640408
"24",5834.48041385766
"25",11214.174079232
"26",8410.33402255358
"27",6809.81820073944
"28",11228.4393062644
"29",5643.23898983895
"30",5699.83251774664
"31",4611.88893461056
"32",6673.83670652567
"33",8396.25901998893
"34",7727.24627435986
"35",6224.11275962558
"36",9726.18726850374
"37",8237.9123918156
"38",7280.28642894769
"39",4983.66176785071
"40",7348.24316398173
"41",5039.46297310971
"42",7758.91359101963
"43",8400.92464104498
"44",7730.14546734849
"45",6449.71991360341
"46",4981.53931490865
"47",8125.48059561789
"48",8082.17935706422
"49",7612.4978489638
"50",5660.33124372455
"51",7878.14214280479
"52",5413.37255283494
"53",8407.66902828163
"54",7149.66384411762
"55",8111.37277857815
"56",7099.6087892569
"57",6787.78832575708
"58",8157.70782105399
"59",7102.73880905377
"60",5515.06912973147
"61",5932.62830466712
"62",8013.08294762026
"63",9777.66309567344
"64",6734.55070120839
"65",7864.38674328537
"66",8590.64205694948
"67",5621.48043865798
"68",7838.2168573771
"69",10406.9360906887
"70",6455.43803367276
"71",8194.71669039227
"72",7537.12561248621
"73",5451.33391583683
"74",5332.34307447612
"75",7378.48915312392
"76",8531.58567506495
"77",8155.65993401597
"78",8632.11975513204
"79",6660.50299390434
"80",6462.74009330813
"81",7470.4331826819
"82",6636.41775633997
"83",8048.22648352186
"84",7913.16334139006
"85",8151.48027833032
"86",6777.04018425796
"87",7106.13947873332
"88",5673.93195153709
"89",5014.84856224092
"90",8628.43234871918
"91",5107.35567328703
"92",9581.54610570946
"93",9746.42002485137
"94",10390.8665189589
"95",9666.84780906383
"96",4420.08723790905
"97",6141.74658257481
"98",7027.08897475605
"99",11709.0632030412
"100",5339.2911693744
"101",6109.07448700652
"102",8318.51402726578
"103",5650.00553816961
"104",8931.92388476785
"105",10138.9418664612
"106",7691.14522663807
"107",7842.45879090151
"108",6527.67221840074
"109",8365.98601013809
"110",7021.89733181491
"111",4600.29012069379
"112",8702.80191529225
"113",6177.91270860522
"114",6981.01388561281
"115",7709.83585933711
"116",6718.82850208699
"117",10608.5384920917
"118",5983.13042954258
"119",7010.10054047381
"120",5637.13136087225
"121",7365.62507502154
"122",6079.11492571325
"123",6695.30690090656
"124",7422.990828893
"125",6547.87912004595
"126",4424.6110970705
"127",9171.5216221434
"128",6945.62953407671
"129",7569.02529517709
"130",8887.57567479601
"131",6321.48567771574
"132",7492.83556179696
"133",7536.57258757696
"134",6990.32284396993
"135",6984.98106307699
"136",9949.60162620273
"137",7780.38917959497
"138",8997.56925187313
"139",6632.86057559243
"140",5470.71817156169
"141",5781.31321316963
"142",6638.90692875028
"143",6388.45239809373
"144",4560.35150823322
"145",6244.18134515565
"146",7581.49735069867
"147",6570.52460308243
"148",4983.89519436875
"149",10048.0176996554
"150",7294.99767589269
